split,file,feature,norm,exact,max_abs_error
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,position_z_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,position_z_relative_to_pelvis,norm_2026-09-22.npz,False,0.5384225845336914
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,position_z_relative_to_pelvis,norm_2026-09-23.npz,False,0.2616405487060547
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,position_z_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,joint_angles,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,joint_angles,norm_2026-09-22.npz,False,0.46643972396850586
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,joint_angles,norm_2026-09-23.npz,False,0.5084066390991211
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,joint_angles,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,polar_elevation,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,polar_elevation,norm_2026-09-22.npz,False,0.46103858947753906
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,polar_elevation,norm_2026-09-23.npz,False,0.4428267478942871
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,polar_elevation,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,distance_from_center,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,distance_from_center,norm_2026-09-22.npz,False,1.4896248579025269
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,distance_from_center,norm_2026-09-23.npz,False,1.5774506330490112
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,distance_from_center,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,position_x_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,position_x_relative_to_pelvis,norm_2026-09-22.npz,False,0.7725024223327637
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,position_x_relative_to_pelvis,norm_2026-09-23.npz,False,0.4698910713195801
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,position_x_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,position_y_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,position_y_relative_to_pelvis,norm_2026-09-22.npz,False,0.5964231491088867
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,position_y_relative_to_pelvis,norm_2026-09-23.npz,False,0.49787187576293945
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,position_y_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,position_z_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,position_z_relative_to_pelvis,norm_2026-09-22.npz,False,0.5384225845336914
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,position_z_relative_to_pelvis,norm_2026-09-23.npz,False,0.2616405487060547
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,position_z_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,joint_angles,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,joint_angles,norm_2026-09-22.npz,False,0.46643972396850586
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,joint_angles,norm_2026-09-23.npz,False,0.5084066390991211
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,joint_angles,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,polar_elevation,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,polar_elevation,norm_2026-09-22.npz,False,0.46103858947753906
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,polar_elevation,norm_2026-09-23.npz,False,0.4428267478942871
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,polar_elevation,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,distance_from_center,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,distance_from_center,norm_2026-09-22.npz,False,1.4896248579025269
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,distance_from_center,norm_2026-09-23.npz,False,1.5774506330490112
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,distance_from_center,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,position_x_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,position_x_relative_to_pelvis,norm_2026-09-22.npz,False,0.7725024223327637
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,position_x_relative_to_pelvis,norm_2026-09-23.npz,False,0.4698910713195801
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,position_x_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,position_y_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,position_y_relative_to_pelvis,norm_2026-09-22.npz,False,0.5964231491088867
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,position_y_relative_to_pelvis,norm_2026-09-23.npz,False,0.49787187576293945
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,position_y_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,position_z_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,position_z_relative_to_pelvis,norm_2026-09-22.npz,False,0.5384225845336914
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,position_z_relative_to_pelvis,norm_2026-09-23.npz,False,0.2616405487060547
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,position_z_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,joint_angles,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,joint_angles,norm_2026-09-22.npz,False,0.46643972396850586
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,joint_angles,norm_2026-09-23.npz,False,0.5084066390991211
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,joint_angles,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,polar_elevation,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,polar_elevation,norm_2026-09-22.npz,False,0.46103858947753906
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,polar_elevation,norm_2026-09-23.npz,False,0.4428267478942871
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,polar_elevation,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-02_aug-01_norm.npz,distance_from_center,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-02_aug-01_norm.npz,distance_from_center,norm_2026-09-22.npz,False,1.264971375465393
train,features__cam-06_uid-14_take-02_aug-01_norm.npz,distance_from_center,norm_2026-09-23.npz,False,1.3127548694610596
train,features__cam-06_uid-14_take-02_aug-01_norm.npz,distance_from_center,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-02_aug-01_norm.npz,position_x_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-02_aug-01_norm.npz,position_x_relative_to_pelvis,norm_2026-09-22.npz,False,0.5779948234558105
train,features__cam-06_uid-14_take-02_aug-01_norm.npz,position_x_relative_to_pelvis,norm_2026-09-23.npz,False,0.46609950065612793
train,features__cam-06_uid-14_take-02_aug-01_norm.npz,position_x_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-02_aug-01_norm.npz,position_y_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-02_aug-01_norm.npz,position_y_relative_to_pelvis,norm_2026-09-22.npz,False,0.5545749664306641
