frame_index,X_pose,X_step
30,"[-1.4596997499465942, -1.218726396560669, 0.3728053569793701, 1.091153621673584, -0.9444911479949951, -1.3130559921264648, -7.50189208984375, -6.140961170196533, -0.11120222508907318, -0.06251290440559387, -0.0803188756108284, -0.1013660803437233, -0.09302902221679688, 0.17571891844272614, 0.2717619240283966, 0.20359277725219727, 0.16077953577041626, 0.42569848895072937, 0.2733456790447235, 0.3039672374725342, 0.4063570201396942, 0.20172010362148285, 0.2831776440143585, -0.0023346131201833487, -0.024845018982887268, 0.15622909367084503]","[1.0, 1.91876042149318e-23, 0.0, 0.0]"
31,"[-1.4574451446533203, -1.2593770027160645, 0.37523385882377625, 1.1214059591293335, -0.8818792104721069, -1.170519232749939, -7.382717609405518, -5.901313304901123, 0.012922265566885471, -0.07779260724782944, -0.14348158240318298, -0.05504135414958, 0.04464654251933098, -0.12000300735235214, -0.02320161834359169, 0.06458702683448792, -0.1558293104171753, -0.04902864992618561, 0.48930874466896057, -0.0066879685036838055, -0.1754692941904068, 0.29008227586746216, 0.3358296751976013, 0.22871841490268707, 0.09287602454423904, 0.07923983037471771]","[1.0, 2.2206289331564922e-23, 0.0, 0.0]"
32,"[-1.4589118957519531, -1.2521893978118896, 0.3365999162197113, 1.1885559558868408, -0.9029195308685303, -1.1470805406570435, -7.724731922149658, -6.267399311065674, -0.0009703751420602202, 0.052324071526527405, 0.03624802082777023, 0.05564156174659729, 0.009352014400064945, -0.014308269135653973, 0.06835029274225235, 0.5129625797271729, 0.3988111913204193, 0.2660618722438812, 1.848577857017517, -0.20272020995616913, 1.0215167999267578, 0.4102793335914612, 0.21087631583213806, 0.28442031145095825, 0.006684312596917152, -0.060228779911994934]","[1.0, 2.569988922352463e-23, 0.0, 0.0]"
33,"[-1.429350733757019, -1.2412819862365723, 0.3317345082759857, 1.2086806297302246, -1.006129503250122, -1.2147884368896484, -6.337658882141113, -5.592972278594971, 0.05192527920007706, 0.15263959765434265, 0.15554359555244446, 0.09682764858007431, 0.090501569211483, 0.021577592939138412, 0.11533457040786743, 0.429098904132843, -0.3791765570640564, 1.228193759918213, -0.16091351211071014, -0.21700935065746307, 0.3205417990684509, -0.049108631908893585, -0.05194259062409401, 0.10114514082670212, 0.20200741291046143, 0.39922645688056946]","[1.0, 2.97431169071444e-23, 0.0, 0.0]"
34,"[-1.5035386085510254, -1.253069281578064, 0.3281898498535156, 1.21388578414917, -0.9581263065338135, -1.148350477218628, -3.5113284587860107, -4.4459943771362305, 0.0010602689580991864, -0.04890558496117592, -0.0024052730295807123, -0.1058097705245018, -0.07019400596618652, -0.07877369225025177, 0.22362791001796722, -0.131791889667511, 0.4903293251991272, 0.42941421270370483, 0.2483958899974823, 0.3776841461658478, 0.07620330154895782, -0.16076859831809998, -0.026745077222585678, 0.15665501356124878, -0.06661953777074814, 0.12377334386110306]","[1.0, 3.442244731485457e-23, 0.0, 0.0]"
35,"[-1.510606050491333, -1.299622893333435, 0.43767353892326355, 1.249847173690796, -0.9101403951644897, -0.9886457324028015, -2.5965688228607178, -4.442073345184326, -0.1278786063194275, 0.07136993110179901, 0.051068782806396484, 0.08992323279380798, 0.043049488216638565, 0.17858539521694183, 0.12440332770347595, -0.09945110231637955, -0.004897120408713818, 0.16973675787448883, 0.009823841974139214, 0.1752643585205078, 0.5078036785125732, 0.15943367779254913, 0.3620532155036926, 0.4826205372810364, 0.02388870343565941, 0.7025830745697021]","[1.0, 3.983795218564785e-23, 0.0, 0.0]"
36,"[-1.509885549545288, -1.3376282453536987, 0.52264004945755, 1.2752716541290283, -0.9143174886703491, -0.8269198536872864, -2.9606058597564697, -5.020299434661865, -0.27808669209480286, -0.13818110525608063, -0.15238183736801147, -0.13912631571292877, -0.13103683292865753, -0.10075051337480545, 0.3989845812320709, -0.1250801533460617, 0.2909387946128845, -0.19715894758701324, 0.1054525300860405, 0.09519603103399277, -0.03873881325125694, 0.23805241286754608, 0.17910540103912354, 0.12239773571491241, -0.019502563402056694, 0.2679782211780548]","[1.0, 4.610544892218517e-23, 0.0, 0.0]"
37,"[-1.4583282470703125, -1.3865669965744019, 0.5896148085594177, 1.2751359939575195, -0.8685058951377869, -0.7193799614906311, -4.261111736297607, -5.799627304077148, -0.3293744921684265, 0.007115173153579235, -0.03229883313179016, -0.01656513847410679, 0.08210597932338715, -0.02176847495138645, 0.01693728007376194, -0.017724081873893738, 0.3356538414955139, -0.05427933484315872, 0.5080278515815735, -0.028926944360136986, 1.3342562913894653, 1.53844153881073, 0.12305863201618195, 0.182773619890213, -0.017181530594825745, 0.11654432862997055]","[1.0, 5.335897445859444e-23, 0.0, 0.0]"
38,"[-1.4152162075042725, -1.4321064949035645, 0.515301525592804, 1.2669062614440918, -0.6609837412834167, -0.6144765615463257, -5.323665618896484, -5.926916599273682, -0.2807715833187103, 0.1334398239850998, 0.24908700585365295, -0.021563032642006874, -0.0028258576057851315, 0.35053518414497375, -0.08241081237792969, 0.0780295804142952, 0.3340628743171692, 0.6527091860771179, 0.4575892984867096, -0.30567365884780884, 0.9231516718864441, 1.3271965980529785, 0.1123645231127739, -0.01372719556093216, 0.39484772086143494, 0.001248047105036676]","[1.0, 6.175366618049642e-23, 0.0, 0.0]"
39,"[-1.4247145652770996, -1.4417837858200073, 0.5261272192001343, 1.2434000968933105, -0.4993407130241394, -0.4835508465766907, -4.246140480041504, -5.436745643615723, -0.2571384310722351, -0.04091278463602066, -0.13056787848472595, -0.027007682248950005, -0.08814674615859985, 0.15931916236877441, 0.09642958641052246, 0.052896805107593536, -0.1974247395992279, 0.09456925094127655, 0.2645418047904968, -0.1482105702161789, 0.3555736839771271, 0.33446112275123596, 0.2929147481918335, 0.4600563049316406, -0.09733819961547852, 0.3329372704029083]","[1.0, 7.146904358637046e-23, 0.0, 0.0]"
